ctmmlabel,class,occu,release,count
ak,crop,moderate,prairie,0
am,crop,low,prairie,7240
am,crop,moderate,prairie,0
am,crop,high,prairie,0
am,edge,low,prairie,80925
am,edge,moderate,prairie,0
am,edge,high,prairie,0
am,poor,low,prairie,407682
am,poor,moderate,prairie,8
am,poor,high,prairie,0
am,rich,high,prairie,3
am,rich,low,prairie,878100
am,rich,moderate,prairie,22
as,edge,low,prairie,91111
as,edge,moderate,prairie,0
as,edge,high,prairie,0
as,poor,low,prairie,202218
as,poor,moderate,prairie,0
as,poor,high,prairie,0
as,rich,high,prairie,1
as,rich,low,prairie,792338
as,rich,moderate,prairie,0
as,crop,high,prairie,0
as,crop,low,prairie,0
as,crop,moderate,prairie,0
av,edge,low,prairie,849
av,edge,moderate,prairie,0
av,edge,high,prairie,0
av,rich,high,prairie,3
av,rich,low,prairie,139918
av,rich,moderate,prairie,6
av,poor,high,prairie,0
av,poor,low,prairie,0
av,poor,moderate,prairie,0
av,crop,high,prairie,0
av,crop,low,prairie,0
av,crop,moderate,prairie,0
aw,rich,low,prairie,188
aw,rich,moderate,prairie,1
aw,rich,high,prairie,0
aw,poor,low,prairie,0
aw,poor,moderate,prairie,0
aw,poor,high,prairie,0
aw,crop,low,prairie,0
aw,crop,moderate,prairie,0
aw,crop,high,prairie,0
aw,edge,low,prairie,0
aw,edge,moderate,prairie,0
aw,edge,high,prairie,0
ce,edge,low,prairie,6153
ce,edge,moderate,prairie,1
ce,edge,high,prairie,0
ce,rich,high,prairie,1
ce,rich,low,prairie,39390
ce,rich,moderate,prairie,3
ce,poor,high,prairie,0
ce,poor,low,prairie,0
ce,poor,moderate,prairie,0
ce,crop,high,prairie,0
ce,crop,low,prairie,0
ce,crop,moderate,prairie,0
cf,edge,moderate,prairie,0
cf,edge,high,prairie,0
cf,edge,low,prairie,15563
cf,poor,high,prairie,5
cf,poor,low,prairie,34330
cf,poor,moderate,prairie,20
cf,rich,high,prairie,4
cf,rich,low,prairie,48205
cf,rich,moderate,prairie,28
cf,crop,high,prairie,0
cf,crop,low,prairie,0
cf,crop,moderate,prairie,0
cg,crop,low,prairie,2
cg,crop,high,prairie,0
cg,crop,moderate,prairie,0
cg,rich,high,prairie,192
cg,rich,low,prairie,9219
cg,rich,moderate,prairie,662
cg,edge,moderate,prairie,0
cg,edge,high,prairie,0
cg,edge,low,prairie,0
cg,poor,high,prairie,0
cg,poor,low,prairie,0
cg,poor,moderate,prairie,0
ci,edge,moderate,prairie,0
ci,edge,high,prairie,0
ci,edge,low,prairie,625
ci,rich,low,prairie,2157
ci,rich,moderate,prairie,0
ci,rich,high,prairie,0
ci,poor,high,prairie,0
ci,poor,low,prairie,0
ci,poor,moderate,prairie,0
ci,crop,low,prairie,0
ci,crop,high,prairie,0
ci,crop,moderate,prairie,0
cj,edge,low,prairie,7861
cj,edge,high,prairie,0
cj,edge,moderate,prairie,0
cj,poor,low,prairie,61540
cj,poor,high,prairie,0
cj,poor,moderate,prairie,0
cj,rich,low,prairie,2350
cj,rich,high,prairie,0
cj,rich,moderate,prairie,0
cj,crop,low,prairie,0
cj,crop,high,prairie,0
cj,crop,moderate,prairie,0
ck,edge,moderate,prairie,0
ck,edge,high,prairie,0
ck,edge,low,prairie,625
ck,rich,low,prairie,2157
ck,rich,moderate,prairie,0
ck,rich,high,prairie,0
ck,crop,low,prairie,0
ck,crop,high,prairie,0
ck,crop,moderate,prairie,0
ck,poor,low,prairie,0
ck,poor,high,prairie,0
ck,poor,moderate,prairie,0
cl,edge,high,prairie,0
cl,edge,low,prairie,26
cl,edge,moderate,prairie,1
cl,rich,low,prairie,54
cl,rich,moderate,prairie,0
cl,rich,high,prairie,0
cl,crop,low,prairie,0
cl,crop,high,prairie,0
cl,crop,moderate,prairie,0
cl,poor,low,prairie,0
cl,poor,high,prairie,0
cl,poor,moderate,prairie,0
cm,edge,high,prairie,0
cm,edge,low,prairie,58322
cm,edge,moderate,prairie,1
cm,poor,low,prairie,18353
cm,poor,moderate,prairie,0
cm,poor,high,prairie,0
cm,rich,high,prairie,7
cm,rich,low,prairie,191073
cm,rich,moderate,prairie,31
cm,crop,low,prairie,0
cm,crop,high,prairie,0
cm,crop,moderate,prairie,0
ed,crop,high,west,1
ed,crop,low,west,2159
ed,crop,moderate,west,10
ed,edge,high,west,5
ed,edge,low,west,2356
ed,edge,moderate,west,14
ed,poor,high,west,2
ed,poor,low,west,460
ed,poor,moderate,west,10
ed,rich,high,west,1
ed,rich,low,west,631
ed,rich,moderate,west,9
ef,crop,high,west,2
ef,crop,low,west,13319
ef,crop,moderate,west,32
ef,edge,low,west,2345
ef,edge,moderate,west,11
ef,edge,high,west,0
ef,poor,high,west,16
ef,poor,low,west,1210
ef,poor,moderate,west,39
ef,rich,high,west,0
ef,rich,low,west,0
ef,rich,moderate,west,0
ep,edge,moderate,west,0
ep,edge,high,west,0
ep,edge,low,west,133
ep,poor,low,west,37
ep,poor,moderate,west,2
ep,poor,high,west,0
ep,rich,low,west,247
ep,rich,moderate,west,2
ep,crop,moderate,west,0
ep,crop,high,west,0
ep,crop,low,west,0
eq,edge,moderate,west,0
eq,edge,high,west,0
eq,edge,low,west,12
eq,poor,low,west,93
eq,poor,moderate,west,3
eq,poor,high,west,0
eq,rich,high,west,0
eq,rich,low,west,0
eq,rich,moderate,west,0
eq,crop,moderate,west,0
eq,crop,high,west,0
eq,crop,low,west,0
fi,crop,high,west,0
fi,crop,low,west,56
fi,crop,moderate,west,1
fi,edge,low,west,63
